ID,N_VICTIMAS,AÑO,MES,DIA,HORA,LUGAR_DEL_HECHO,TIPO_DE_RUTA,COMUNA,X,Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD
2016-0126,2,2016,9,18,22,IRIGOYEN Y TINOGASTA,calle,10,-58.52572109,-34.62125906,auto,cargas,conductor,masculino,37
2016-0126,2,2016,9,18,22,IRIGOYEN Y TINOGASTA,calle,10,-58.52572109,-34.62125906,auto,cargas,pasajero_acompañante,masculino,60
2016-0127,1,2016,9,24,10,AV MARIANO ACOSTA Y AV CNEL ROCA,avenida,8,-58.44094791,-34.66677111,peaton,pasajeros,peaton,masculino,50
2016-0128,1,2016,10,2,11,CASTRO Y AV PAVON,avenida,5,-58.41914024,-34.63053890,peaton,pasajeros,peaton,femenino,81
2016-0130,1,2016,10,4,12,AUTOPISTA 9 DE JULIO SUR Y AV BRASIL,autopista,1,-58.37910942,-34.62764717,moto,cargas,conductor,masculino,29
2016-0131,1,2016,10,9,19,MIRAVE 3500,calle,4,-58.39871183,-34.64539318,peaton,auto,peaton,masculino,35
2016-0132,1,2016,10,10,2,AV SAN JUAN Y 24 DE NOVIEMBRE,avenida,3,-58.41036975,-34.62477021,auto,pasajeros,pasajero_acompañante,masculino,30
2016-0133,1,2016,10,14,0,AV LAS HERAS Y SANCHEZ DE BUSTAMANTE,avenida,14,-58.40204698,-34.58342690,moto,auto,conductor,masculino,41
2016-0134,1,2016,10,23,5,AV PIEDRA BUENA Y 2 DE ABRIL 1982,avenida,8,-58.48935287,-34.67648597,moto,objeto fijo,conductor,masculino,25
2016-0135,1,2016,10,24,5,AV FIGUEROA ALCORTA  Y PINEDO,avenida,14,-58.42260225,-34.56403694,peaton,auto,peaton,masculino,29
2016-0136,1,2016,10,25,0,AU BUENOS AIRES - LA PLATA KM. 4,autopista,4,.,.,moto,cargas,conductor,masculino,37
2016-0137,1,2016,10,25,0,AV SAN MARTIN Y LADINES,avenida,11,-58.51537091,-34.59035925,moto,moto,conductor,masculino,30
