ID,N_VICTIMAS,AÑO,MES,DIA,HORA,LUGAR_DEL_HECHO,TIPO_DE_RUTA,COMUNA,X,Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD
2017-0089,1,2017,7,13,12,MARTINIANO LEGUIZAMON 901,calle,9,-58.51514709,-34.64787051,moto,auto,conductor,masculino,23
2017-0090,1,2017,7,15,5,AV. CHIVILCOY Y COLECTORA AV. GRAL. PAZ ,avenida,11,-58.51925642,-34.59171721,peaton,auto,peaton,masculino,22
2017-0091,1,2017,7,15,13,SUPERI Y AV. GRAL. PAZ,avenida,12,-58.48671535,-34.54321216,moto,auto,conductor,masculino,58
2017-0092,1,2017,7,24,22,AU 25 DE MAYO Y AU FRONDIZI (9 DE JULIO SUR),autopista,1,-58.38268809,-34.62282019,peaton,auto,peaton,masculino,66
2017-0093,1,2017,7,25,16,"AV. LEOPOLDO LUGONES KM 7,5, ALTURA PUENTE SCALABRINI ORTIZ, SENTIDO A CENTRO PORTEÑO",autopista,13,-58.43633522,-34.54966288,peaton,auto,peaton,masculino,37
2017-0094,1,2017,7,27,8,VICTOR HUGO 2639,calle,10,-58.52640838,-34.61765855,bicicleta,cargas,ciclista,femenino,56
2017-0095,1,2017,8,6,8,AV. CORDOBA Y JERONIMO SALGUERO,avenida,14,-58.41894306,-34.59778875,moto,auto,conductor,masculino,36
2017-0096,1,2017,8,7,19,AV. CABILDO Y NUÑEZ,avenida,13,-58.46756026,-34.54972741,peaton,pasajeros,peaton,masculino,87
2017-0098,1,2017,8,8,12,JOSE BONIFACIO 2114,calle,7,-58.45715752,-34.63132912,peaton,auto,peaton,femenino,61
2017-0099,1,2017,8,17,19,AV. PTE FIGUEROA ALCORTA 5400,avenida,14,-58.42406784,-34.56213916,bicicleta,auto,ciclista,masculino,28
2017-0100,1,2017,8,21,7,VENEZUELA 2135,calle,3,-58.39674470,-34.61512051,moto,objeto fijo,pasajero_acompañante,femenino,16
2017-0101,1,2017,8,23,10,AV. FCO. LACROZE Y ZAPATA,avenida,13,-58.44537508,-34.57084818,peaton,multiple,peaton,femenino,61
2017-0102,1,2017,8,24,1,IRIARTE Y ZAVALETA,avenida,4,-58.40056767,-34.65107080,peaton,cargas,peaton,masculino,46
2017-0104,1,2017,8,25,9,AV. 9 DE JULIO Y ESTADOS UNIDOS,avenida,1,-58.38109568,-34.61853244,peaton,cargas,peaton,femenino,18
2017-0106,1,2017,8,31,19,FRAY JUSTO SANTAMARIA DE ORO Y GUEMES,calle,14,-58.42533612,-34.58035258,peaton,pasajeros,peaton,femenino,85
2017-0107,1,2017,9,1,11,AV. DEL LIBERTADOR Y JARAMILLO,avenida,13,-58.46062311,-34.54395182,moto,cargas,conductor,masculino,41
2017-0108,2,2017,9,2,4,AV. GRAL. PAZ Y MACHAIN,avenida,12,-58.49491054,-34.54795581,otros,auto,pasajero_acompañante,masculino,17
2017-0108,2,2017,9,2,4,AV. GRAL. PAZ Y MACHAIN,avenida,12,-58.49491054,-34.54795581,otros,auto,pasajero_acompañante,masculino,10
2017-0109,1,2017,9,4,21,AV. DIRECTORIO Y PORTELA,avenida,7,-58.47130269,-34.63665402,moto,auto,conductor,masculino,21
2017-0110,1,2017,9,6,14,LAVALLE Y AV. LEANDRO N ALEM,avenida,1,-58.37048800,-34.60189492,peaton,pasajeros,peaton,masculino,56
2017-0111,1,2017,9,7,18,USPALLATA Y PIROVANO,calle,4,-58.42023854,-34.64234110,peaton,cargas,peaton,femenino,79
2017-0112,2,2017,9,10,9,AU 25 DE MAYO Y AV. VARELA,autopista,7,-58.45807401,-34.63997430,auto,objeto fijo,pasajero_acompañante,masculino,1
2017-0112,2,2017,9,10,9,AU 25 DE MAYO Y AV. VARELA,autopista,7,-58.45807401,-34.63997430,auto,objeto fijo,pasajero_acompañante,masculino,37
2017-0113,1,2017,9,11,6,AV. SANTA FE Y MAIPU,avenida,1,-58.37697717,-34.59573848,peaton,pasajeros,peaton,femenino,76
2017-0114,1,2017,9,15,2,AV. ALVEAR Y AV. DEL LIBERTADOR,avenida,2,-58.39100580,-34.58498660,auto,objeto fijo,conductor,masculino,26
2017-0115,1,2017,9,19,18,AV. PAVON Y TREINTA Y TRES ORIENTALES,avenida,5,-58.42182126,-34.63089661,moto,bicicleta,conductor,masculino,34
2017-0116,1,2017,9,20,22,COLECTORA AV. GRAL. PAZ 5750,avenida,12,-58.51389422,-34.58075791,moto,objeto fijo,conductor,masculino,22
2017-0118,1,2017,9,22,7,VIEYTES Y CRUZ,avenida,4,-58.37585415,-34.65232158,moto,auto,pasajero_acompañante,femenino,26
2017-0120,1,2017,10,2,15,AU DELLEPIANE Y AV. ESCALADA,autopista,9,-58.47297505,-34.66245085,moto,cargas,conductor,masculino,20
2017-0123,1,2017,10,10,1,ALBARIÑO Y AV. ARGENTINA,avenida,8,-58.46855503,-34.67216349,peaton,auto,peaton,femenino,36
2017-0124,1,2017,10,12,14,JUAN RAMIREZ DE VELAZCO 1211,calle,15,-58.44254033,-34.59185043,moto,pasajeros,conductor,masculino,51
2017-0125,1,2017,10,13,6,AV. FERNANDEZ DE LA CRUZ Y LARRAYA,avenida,8,-58.46622247,-34.67926929,moto,objeto fijo,conductor,masculino,29
2017-0126,2,2017,10,14,6,AV. RIESTRA Y CAÑADA DE GOMEZ,avenida,8,-58.48003734,-34.68148508,auto,objeto fijo,pasajero_acompañante,masculino,39
2017-0126,2,2017,10,14,6,AV. RIESTRA Y CAÑADA DE GOMEZ,avenida,8,-58.48003734,-34.68148508,auto,objeto fijo,conductor,masculino,36
2017-0127,1,2017,10,16,7,GALLO Y AV. CORDOBA,avenida,2,-58.41192137,-34.59800248,moto,moto,pasajero_acompañante,masculino,24
2017-0128,1,2017,10,17,12,DR. JUAN F. ARANGUREN 611,calle,6,-58.44034689,-34.61349731,peaton,pasajeros,peaton,femenino,60
2017-0129,1,2017,10,26,19,AU PERITO MORENO Y AU 25 DE MAYO,autopista,9,-58.47155277,-34.64925746,moto,pasajeros,conductor,masculino,57
2017-0130,1,2017,10,27,5,CHORROARIN Y AV. SAN MARTIN,avenida,15,-58.47883099,-34.59967065,auto,cargas,conductor,masculino,23
2017-0132,1,2017,10,30,14,COSQUIN Y AV. CNEL. ROCA,avenida,8,-58.46552171,-34.69374130,moto,pasajeros,conductor,masculino,23
2017-0134,1,2017,11,6,18,AV. CNEL. ROCA 3555,avenida,8,-58.44239720,-34.66777987,peaton,pasajeros,peaton,femenino,47
2017-0135,1,2017,11,7,12,AV. WARNES Y PUNTA ARENAS,avenida,15,-58.47032551,-34.59626814,moto,cargas,conductor,masculino,24
2017-0136,1,2017,11,16,8,DEL BARCO CENTENERA Y RABANAL,avenida,4,-58.41827843,-34.65522746,peaton,pasajeros,peaton,masculino,55
2017-0137,1,2017,11,17,11,AV. GRAL. ENRIQUE MOSCONI Y SAN NICOLAS,avenida,11,-58.51280715,-34.59279388,peaton,cargas,peaton,femenino,60
2017-0138,1,2017,11,19,10,AV. LAFUENTE Y AV. EVA PERON,avenida,7,-58.46258582,-34.64385704,moto,objeto fijo,pasajero_acompañante,masculino,25
2017-0139,1,2017,11,19,22,AV. CNEL. ROCA Y AV. ESCALADA,avenida,8,-58.45064148,-34.68003614,auto,objeto fijo,pasajero_acompañante,femenino,15
2017-0140,1,2017,11,19,23,AU ARTURO FRONDIZI PKM 3100,autopista,4,.,.,moto,pasajeros,conductor,masculino,24
2017-0141,1,2017,11,23,19,AV. LA PLATA Y AV. PEDRO GOYENA,avenida,6,-58.42717783,-34.62513374,peaton,pasajeros,peaton,femenino,22
2017-0143,1,2017,11,25,21,TRELLES Y GRAL. CESAR DIAZ,calle,11,-58.46442001,-34.60724519,auto,pasajeros,conductor,masculino,50
2017-0144,1,2017,11,26,6,AV. CNEL. ROCA Y COLECTORA AV. GRAL. PAZ,avenida,8,-58.47064556,-34.69843756,auto,objeto fijo,pasajero_acompañante,femenino,50
2017-0145,1,2017,11,26,17,MAZA Y DON BOSCO,calle,5,-58.41677733,-34.61223119,moto,auto,conductor,masculino,58
2017-0147,1,2017,11,28,11,AV. GRAL. PAZ Y AV. EVA PERON,avenida,9,-58.50251790,-34.67450313,moto,auto,conductor,masculino,49
2017-0148,1,2017,11,29,10,AV. SAN JUAN Y LA RIOJA,avenida,3,-58.40708125,-34.62438894,peaton,pasajeros,peaton,femenino,82
2017-0149,1,2017,11,30,12,AV. PASEO COLON Y MEXICO,avenida,1,-58.36947198,-34.61477051,peaton,pasajeros,peaton,masculino,13
2017-0150,1,2017,12,4,1,AV. RIVADAVIA Y MIRALLA,avenida,9,-58.51140889,-34.63934531,peaton,auto,peaton,masculino,56
2017-0151,1,2017,12,4,2,VIEYTES Y LUJAN,calle,4,-58.37460912,-34.65559133,peaton,pasajeros,peaton,masculino,37
2017-0152,1,2017,12,6,17,CACHI Y TRAFUL,calle,4,-58.41146277,-34.65073916,bicicleta,pasajeros,ciclista,masculino,19
2017-0153,2,2017,12,11,2,ROSARIO Y AV. LA PLATA,avenida,6,-58.42855267,-34.61829385,moto,pasajeros,pasajero_acompañante,masculino,37
2017-0153,2,2017,12,11,2,ROSARIO Y AV. LA PLATA,avenida,6,-58.42855267,-34.61829385,moto,pasajeros,conductor,masculino,30
2017-0154,1,2017,12,11,9,AV. ENTRE RIOS Y AV. CASEROS ,avenida,4,-58.39035581,-34.63412287,peaton,pasajeros,peaton,masculino,76
2017-0155,1,2017,12,12,21,AV. RIVADAVIA 6350,avenida,7,-58.45593915,-34.62656868,moto,moto,conductor,masculino,77
2017-0157,1,2017,12,17,9,AV. GRAL. PAZ Y HUMAITA,avenida,9,-58.52866211,-34.64597065,auto,pasajeros,conductor,masculino,53
2017-0158,1,2017,12,18,21,GUALEGUAYCHU Y COLECTORA AV. GRAL PAZ,avenida,11,-58.52037476,-34.59407024,moto,auto,conductor,masculino,32
2017-0159,1,2017,12,20,4,AV. INDEPENDENCIA Y VIRREY CEVALLOS,avenida,1,-58.38896772,-34.61799615,moto,auto,conductor,masculino,27
2017-0160,1,2017,12,22,13,AV. NAZCA 365,avenida,7,-58.47074114,-34.62771756,peaton,moto,peaton,femenino,30
2017-0161,1,2017,12,26,15,AV. EVA PERON 5249,avenida,9,-58.48200819,-34.65969965,peaton,auto,peaton,femenino,30
2018-0001,1,2018,1,1,22,San Juan Av. Y Rincón,avenida,3,-58.39536773,-34.62297346,peaton,moto,peaton,masculino,83
2018-0002,1,2018,1,3,16,Peru 937,calle,1,-58.37456088,-34.61895467,bicicleta,pasajeros,ciclista,femenino,26
2018-0003,1,2018,1,5,10,"Pueyrredon, Honorio, Dr. Av. y Galicia",avenida,15,-58.44860217,-34.60395657,peaton,multiple,peaton,femenino,58
2018-0004,1,2018,1,9,9,Del Libertador Av. y Manzanares,avenida,13,-58.46129513,-34.54332766,moto,multiple,conductor,masculino,39
2018-0005,1,2018,1,9,22,Paseo Colon Av. 1019,avenida,1,-58.36907201,-34.61953517,peaton,pasajeros,peaton,masculino,54
2018-0006,1,2018,1,10,21,Valle y Barco Centenera Del,calle,6,-58.44062219,-34.62499107,bicicleta,pasajeros,ciclista,femenino,45
2018-0007,1,2018,1,11,2,AU Perito Moreno  KM 0.6,autopista,9,-58.52502765,-34.63601265,auto,auto,conductor,masculino,46
2018-0008,1,2018,1,12,17,"Huergo, Ing. Av. e Independencia Av.",avenida,1,-58.36659655,-34.61687778,moto,cargas,conductor,femenino,32
2018-0009,1,2018,1,14,2,"Pilcomayo y Brown, Alte. Av.",avenida,4,-58.36737389,-34.62763661,moto,moto,conductor,masculino,19
2018-0010,1,2018,1,18,5,"Cervantes y Belaustegui, Luis, Dr.",calle,10,-58.49807953,-34.63038658,moto,cargas,conductor,masculino,40
2018-0011,1,2018,1,19,10,Callao y Vte. Lopez,avenida,2,-58.39092703,-34.59088447,peaton,pasajeros,peaton,masculino,84
2018-0012,1,2018,1,26,13,"Oliden y Chilavert, Martiniano, Coronel",calle,8,-58.46912006,-34.68049201,moto,pasajeros,conductor,masculino,20
2018-0013,1,2018,1,28,8,Congreso Av. y Galvan,avenida,12,-58.48661286,-34.56786129,moto,auto,conductor,masculino,44
2018-0014,1,2018,1,31,20,"Moreno, Perito Av. y Rivera Indarte",avenida,7,-58.44074927,-34.65080597,peaton,moto,peaton,masculino,37
2018-0015,2,2018,2,6,1,Australia Av. 2800,avenida,4,-58.38636298,-34.64684275,moto,pasajeros,conductor,masculino,28
2018-0015,2,2018,2,6,1,Australia Av. 2800,avenida,4,-58.38636298,-34.64684275,moto,pasajeros,pasajero_acompañante,masculino,19
2018-0016,1,2018,2,15,10,"Del Libertador Av. y Ramos Mejia, Jose Maria, Dr. Av.",avenida,1,-58.37533517,-34.59276462,moto,cargas,conductor,masculino,31
2018-0017,1,2018,2,17,4,San Pedrito Av. y Rivadavia Av.,avenida,7,-58.46963952,-34.63070603,peaton,auto,peaton,masculino,35
2018-0018,1,2018,2,17,7,"Isabel La Catolica y Salvadores, Cnel.",calle,4,-58.37207554,-34.64543658,moto,cargas,conductor,masculino,26
2018-0019,1,2018,2,17,12,Las Heras General Av. y Callao Av.,avenida,2,-58.39189441,-34.59176378,peaton,pasajeros,peaton,femenino,80
2018-0020,1,2018,2,19,22,Fernandez de la Cruz Subida AU Héctor J. Cámpora,autopista,8,-58.45012957,-34.66518343,moto,cargas,conductor,masculino,26
2018-0021,1,2018,2,22,10,AMANCIO ALCORTA Y ZAVALETA,avenida,4,-58.40184094,-34.64546845,peaton,pasajeros,peaton,femenino,62
2018-0022,1,2018,2,24,0,"Montes De Oca, Manuel y Olavarria",avenida,4,-58.37441153,-34.63966783,moto,cargas,conductor,masculino,28
2018-0023,1,2018,2,24,6,Barco Centenera Del y Rosario,calle,6,-58.44110156,-34.62082399,moto,auto,conductor,masculino,28
2018-0024,1,2018,2,28,23,Alvarez Thomas Av. y Donado,avenida,15,-58.47087351,-34.57827342,peaton,cargas,peaton,masculino,70
2018-0025,1,2018,3,4,22,Av. Avellaneda y Av. Boyacá,avenida,7,-58.45962210,-34.62245140,peaton,auto,peaton,masculino,70
2018-0026,2,2018,3,9,4,"Rabanal, Francisco, Intendente Av. y Saenz Av.",avenida,4,-58.41657793,-34.65476216,otros,cargas,conductor,masculino,24
2018-0026,2,2018,3,9,4,"Rabanal, Francisco, Intendente Av. y Saenz Av.",avenida,4,-58.41657793,-34.65476216,otros,cargas,pasajero_acompañante,masculino,30
2018-0027,1,2018,3,11,23,Castro y Rondeau,calle,5,-58.41911301,-34.63722107,peaton,moto,peaton,femenino,74
2018-0028,1,2018,3,13,15,"Bilbao, Francisco Av. y Azul",avenida,9,-58.47120586,-34.64251042,peaton,cargas,peaton,masculino,71
2018-0029,1,2018,3,15,18,Nazca Av. y Gaona Av.,avenida,11,-58.47418944,-34.62049672,moto,auto,conductor,masculino,26
2018-0030,1,2018,3,20,1,Plaza y Alvarez Thomas Av.,avenida,15,-58.46720441,-34.57905579,moto,moto,conductor,masculino,24
2018-0031,1,2018,3,28,10,"Gaona Av. y Artigas, Jose Gervasio, Gral.",avenida,11,-58.46909362,-34.61779710,moto,cargas,conductor,masculino,31
2018-0032,1,2018,4,2,13,Cabildo Av. y Aguilar,avenida,13,-58.44704343,-34.56888640,peaton,pasajeros,peaton,masculino,70
2018-0033,1,2018,4,7,7,Camarones y Lope De Vega Av.,avenida,10,-58.50535541,-34.62902048,moto,cargas,conductor,femenino,42
2018-0034,1,2018,4,11,18,Santa Fe Av. 2320,avenida,2,-58.40021675,-34.59522198,peaton,pasajeros,peaton,masculino,24
2018-0035,1,2018,4,12,16,Av. Rivadavia 6950,avenida,7,-58.46325991,-34.62919627,peaton,pasajeros,peaton,femenino,39
2018-0036,1,2018,4,13,23,Av. San Martín y Argerich,avenida,15,-58.49471482,-34.59694755,moto,auto,conductor,masculino,37
2018-0037,1,2018,4,18,18,"Cordoba Av. y Uriburu Jose E., Pres.",avenida,2,-58.39872610,-34.59975962,peaton,cargas,peaton,masculino,84
2018-0038,2,2018,4,20,17,AV. RIVADAVIA 1571,avenida,1,-58.38872177,-34.60885045,peaton,auto,peaton,femenino,59
2018-0038,2,2018,4,20,17,AV. RIVADAVIA 1571,avenida,1,-58.38872177,-34.60885045,peaton,auto,peaton,masculino,61
2018-0039,1,2018,4,21,22,AUTOPISTA LUGONES KM 4.7,autopista,14,.,.,peaton,auto,peaton,masculino,37
2018-0040,1,2018,4,27,11,Ramon Freire y Virrey Olaguer y Feliu,calle,13,-58.45686132,-34.57305993,peaton,cargas,peaton,femenino,37
2018-0041,1,2018,4,27,13,"La Plata Av. y Fernandez De La Cruz, F., Gral. Av.",avenida,4,-58.42281627,-34.64282424,peaton,pasajeros,peaton,femenino,78
2018-0042,1,2018,4,27,18,BRANDSEN y PERDRIEL,calle,4,-58.38666024,-34.63953396,moto,cargas,pasajero_acompañante,masculino,23
2018-0043,1,2018,4,28,6,"Vilardebo, Teodoro y Alvarez Jonte Av.",avenida,11,-58.49122843,-34.61207587,moto,auto,conductor,masculino,25
2018-0044,1,2018,4,28,9,Alberti e Independencia Av.,avenida,3,-58.40098306,-34.61866627,peaton,auto,peaton,femenino,50
2018-0045,1,2018,4,30,7,Alvarez Thomas Av. 879,avenida,13,-58.45448963,-34.57916920,auto,cargas,conductor,masculino,60
2018-0046,1,2018,5,2,3,Av. Gral. Paz y Av. Rivadavia,avenida,9,-58.52927982,-34.63931752,peaton,auto,peaton,masculino,11
2018-0047,1,2018,5,8,19,Av. Corrientes y Av. Dorrego,avenida,15,-58.44759966,-34.59170240,peaton,pasajeros,peaton,masculino,82
2018-0048,1,2018,5,9,10,Rivadavia Av. y Pedernera,avenida,7,-58.46411215,-34.62925068,peaton,pasajeros,peaton,masculino,57
2018-0049,1,2018,5,11,19,Quesada 2300,calle,13,-58.46213220,-34.55395823,peaton,auto,peaton,femenino,40
2018-0050,1,2018,5,14,18,Cabildo Av. y Juramento Av.,avenida,13,-58.45669422,-34.56203610,peaton,pasajeros,peaton,femenino,47
2018-0051,1,2018,5,15,21,"California y Carbonari, Francisco, Cmte.",calle,4,-58.35977160,-34.64341878,peaton,auto,peaton,femenino,57
2018-0052,1,2018,5,18,20,"Carril, Salvador Maria Del Av. y Nazca",avenida,15,-58.49820145,-34.59070093,peaton,pasajeros,peaton,masculino,78
2018-0053,1,2018,5,20,2,San Luis y Aguero,calle,3,-58.41059280,-34.59939180,moto,auto,conductor,masculino,43
2018-0054,1,2018,5,22,11,Lugones 2430,calle,12,-58.47969138,-34.57121563,peaton,bicicleta,peaton,femenino,86
2018-0055,1,2018,5,29,7,Independencia Av. y Jujuy Av.,avenida,3,-58.40351561,-34.61883916,moto,auto,conductor,masculino,21
2018-0056,1,2018,6,2,13,Av. Rivadavia 11050,avenida,9,-58.51973844,-34.63918987,peaton,pasajeros,peaton,femenino,69
2018-0057,1,2018,6,3,3,Combate De Los Pozos y Humberto 1°,calle,3,-58.39311376,-34.62163006,moto,pasajeros,conductor,masculino,33
2018-0058,1,2018,6,3,6,Cordoba Av. y Thames,avenida,15,-58.43531242,-34.59082159,moto,auto,conductor,masculino,26
2018-0059,1,2018,6,8,6,"Garay, Juan De Av. y Sanchez De Loria",avenida,5,-58.41178165,-34.63035454,moto,otros,conductor,masculino,54
2018-0060,1,2018,6,8,12,"Lavalle y Alem, Leandro N. Av.",avenida,1,-58.37048800,-34.60189492,peaton,pasajeros,peaton,masculino,51
2018-0061,1,2018,6,10,11,Estados Unidos y Pichincha,calle,3,-58.39883882,-34.61964833,moto,moto,conductor,masculino,51
2018-0062,1,2018,6,14,1,Rosario y Barco Centenera Del,calle,6,-58.44110156,-34.62082399,peaton,cargas,peaton,masculino,32
2018-0063,1,2018,6,16,21,Av. Leandro N. Alem y Viamonte,avenida,1,-58.37093138,-34.59952725,peaton,pasajeros,peaton,femenino,28
2018-0064,1,2018,6,25,1,Varela Av. y Primera Junta,avenida,7,-58.45855262,-34.63953253,auto,cargas,conductor,masculino,30
2018-0065,1,2018,6,26,17,"Pellegrini, Carlos y Juncal",calle,1,-58.38161909,-34.59283447,moto,cargas,conductor,masculino,35
2018-0066,1,2018,6,28,11,Av. Corrientes y Av. Federico Lacroze,avenida,15,-58.45511899,-34.58698157,peaton,pasajeros,peaton,masculino,73
2018-0067,1,2018,6,29,16,"Montes De Oca, Manuel y Finochietto Enrique Dr.",avenida,4,-58.37724226,-34.62973033,pasajeros,auto,pasajero_acompañante,femenino,81
2018-0068,1,2018,7,1,9,"Carabobo Av. y Alberdi, Juan Bautista Av.",avenida,7,-58.45546217,-34.62930339,moto,auto,conductor,masculino,21
2018-0069,1,2018,7,4,21,"Córdoba Av. 2215

",avenida,2,-58.39897064,-34.59954925,bicicleta,pasajeros,ciclista,masculino,20
2018-0070,1,2018,7,7,15,"Estados Unidos y Urquiza, Gral.",calle,3,-58.40917826,-34.62126274,moto,pasajeros,conductor,masculino,33
2018-0071,1,2018,7,10,17,Moreno y Av. Huergo,avenida,1,-58.36726348,-34.61099738,moto,cargas,conductor,masculino,37
2018-0072,1,2018,7,11,13,"AU Dellepiane kilometro 0.0, altura calle Montiel, sentido hacia el Centro Porteño",autopista,8,-58.48267426,-34.68454456,moto,cargas,conductor,masculino,27
2018-0073,1,2018,7,11,15,"Iriarte, Gral. Av. 3400",avenida,4,-58.39546165,-34.65168841,peaton,cargas,peaton,femenino,67
2018-0074,1,2018,7,14,6,AV. JUAN B. ALBERDI 2968,avenida,7,-58.46941984,-34.63376545,auto,cargas,conductor,masculino,25
2018-0075,1,2018,7,15,7,Del Libertador Av. y Ortiz De Ocampo,avenida,14,-58.40367321,-34.58129246,peaton,auto,peaton,masculino,23
2018-0076,1,2018,7,16,9,"Chavez, Jorge y Paz, Gral. Av.",calle,9,-58.52932872,-34.65014993,auto,cargas,conductor,masculino,73
2018-0077,1,2018,7,16,23,"Urquiza, Gral. y Estados Unidos",calle,3,-58.40917826,-34.62126274,auto,cargas,conductor,masculino,58
2018-0078,1,2018,7,21,6,Paraguay y Sánchez De Bustamante,calle,2,-58.41264127,-34.59473294,peaton,auto,peaton,masculino,27
2018-0079,1,2018,7,23,7,"De Los Corrales Av. y Paz, Gral. Av.",avenida,9,-58.50877521,-34.66977709,peaton,cargas,peaton,masculino,37
2018-0080,1,2018,7,25,22,"Alberdi, Juan Bautista Av. y Carhue",avenida,9,-58.51232237,-34.65903530,peaton,auto,peaton,masculino,26
2018-0081,1,2018,7,29,6,Castañares Av. y Rivera Indarte Av.,avenida,7,-58.44744156,-34.64567171,peaton,multiple,peaton,masculino,35
2018-0082,1,2018,8,1,15,"Larrazabal y Garzon, Eugenio, Gral. Av.",avenida,9,-58.49441273,-34.65869968,moto,cargas,conductor,femenino,17
2018-0083,1,2018,8,2,5,"Paz, Gral. Av. y Fernandez De La Cruz, F., Gral. Av.",avenida,8,-58.47976785,-34.69153196,moto,cargas,conductor,masculino,37
2018-0084,1,2018,8,3,7,Av. Alicia Moreau de Justo y Cochabamba,avenida,1,-58.36523349,-34.62260331,peaton,cargas,peaton,masculino,45
2018-0085,2,2018,8,3,18,"Entre Rios Av. y Garay, Juan De Av.",avenida,3,-58.39118948,-34.62704273,moto,pasajeros,pasajero_acompañante,femenino,22
2018-0085,2,2018,8,3,18,"Entre Rios Av. y Garay, Juan De Av.",avenida,3,-58.39118948,-34.62704273,moto,pasajeros,conductor,masculino,30
2018-0086,1,2018,8,10,21,Directorio Av. y Guardia Nacional,avenida,9,-58.49019551,-34.65015854,peaton,pasajeros,peaton,masculino,40
2018-0087,1,2018,8,15,19,Pavon Av. Y Colombres,avenida,5,-58.41644362,-34.63023775,peaton,pasajeros,peaton,masculino,75
2018-0088,1,2018,8,17,16,Av. Gral. Paz y Av. Dr. Ricardo Balbín,avenida,12,-58.50073810,-34.54979510,moto,cargas,conductor,masculino,37
2018-0089,1,2018,8,17,17,Pichincha Av. y Brasil,avenida,4,-58.39626094,-34.63036565,peaton,pasajeros,peaton,masculino,80
2018-0090,1,2018,8,18,10,27 De Febrero Av. y Pergamino,avenida,8,-58.43284809,-34.67051543,moto,auto,conductor,masculino,27
2018-0091,1,2018,8,19,18,AU Perito Moreno KM 1.8 ALTURA BARRAGAN SENTIDO PBA,autopista,9,-58.52280139,-34.63659934,auto,auto,pasajero_acompañante,femenino,23
2018-0092,1,2018,8,20,8,Cordoba Av. y Gascon,avenida,14,-58.42336930,-34.59774487,moto,auto,conductor,masculino,23
2018-0093,1,2018,8,20,8,15 De Noviembre De 1889 1513,calle,1,-58.38691681,-34.63105973,peaton,pasajeros,peaton,masculino,24
2018-0094,1,2018,8,23,5,"Salguero, Jeronimo y Beruti",calle,14,-58.41169020,-34.58579880,moto,pasajeros,conductor,masculino,32
2018-0095,1,2018,8,26,0,"Lacarra Av. y Dellepiane, Luis, Tte. Gral.",avenida,9,-58.46739825,-34.65117757,auto,auto,pasajero_acompañante,femenino,49
2018-0096,1,2018,8,31,22,"AU Héctor J. Cámpora y Roca, Cnel. Av.",autopista,8,-58.44483258,-34.67152226,peaton,auto,peaton,masculino,39
2018-0097,1,2018,9,2,10,Av. Varela y Av. Int. Francisco Rabanal,avenida,8,-58.43254025,-34.66128115,auto,otros,conductor,femenino,35
2018-0098,2,2018,9,9,5,Av. Gral. Paz e/ Ferre y Beron de Astrada,avenida,8,-58.47199387,-34.69640164,auto,auto,conductor,masculino,55
2018-0098,2,2018,9,9,5,Av. Gral. Paz e/ Ferre y Beron de Astrada,avenida,8,-58.47199387,-34.69640164,auto,auto,pasajero_acompañante,masculino,54
2018-0099,1,2018,9,12,14,Rivadavia Av. y Pedernera,avenida,7,-58.46411215,-34.62925068,peaton,pasajeros,peaton,masculino,18
2018-0100,1,2018,9,20,10,Elvira Rawson de Dellepiane 150,avenida,1,-58.36217754,-34.62367156,moto,auto,conductor,femenino,33
2018-0101,1,2018,9,21,0,"Paz, Gral. Av. y Zapiola",avenida,12,-58.48098594,-34.54073130,auto,multiple,conductor,masculino,37
2018-0102,1,2018,9,21,0,FAMATINA Y DIOGENES TABORDA,calle,4,-58.41083404,-34.64640709,moto,auto,conductor,masculino,20
2018-0103,1,2018,9,27,17,Av. Castañares y Bonorino,avenida,7,-58.44609828,-34.64446729,peaton,moto,peaton,masculino,1
2018-0104,1,2018,10,1,8,AU Frondizi 9 de Julio Sur y Av. Suarez,autopista,4,-58.37709334,-34.64035082,moto,moto,conductor,masculino,22
2018-0105,1,2018,10,3,18,Nazca Av. y Rivadavia Av.,avenida,7,-58.46963952,-34.63070603,peaton,pasajeros,peaton,femenino,56
2018-0106,1,2018,10,4,22,"Figueroa Alcorta, Pres. Av. y Echeverria",avenida,13,-58.43674281,-34.55161027,moto,moto,conductor,masculino,27
2018-0107,1,2018,10,6,14,Rivadavia Av. y Jujuy Av.,avenida,3,-58.40596860,-34.61011987,peaton,pasajeros,peaton,femenino,62
2018-0108,1,2018,10,9,14,"De Los Italianos Av. y Guemes, Macacha",avenida,1,-58.36154069,-34.60463618,moto,auto,conductor,masculino,37
2018-0109,1,2018,10,10,22,"Tucuman y Alem, Leandro N. Av.",avenida,1,-58.37062179,-34.60066507,peaton,pasajeros,peaton,masculino,34
2018-0110,1,2018,10,13,3,"Corrientes Av. y Gallardo, Angel Av.",avenida,15,-58.43220014,-34.60207186,peaton,moto,peaton,masculino,60
2018-0111,1,2018,10,19,12,AU Perito Moreno y Av. Eva Perón SENTIDO CENTRO,autopista,9,-58.46958442,-34.64949724,moto,cargas,conductor,masculino,28
2018-0112,1,2018,10,24,9,Muñecas y Serrano,calle,15,-58.44671397,-34.59970903,moto,cargas,conductor,femenino,28
2018-0113,1,2018,10,25,11,"Artigas, Jose Gervasio, Gral. y Tres Arroyos",calle,11,-58.47152163,-34.61474911,moto,cargas,conductor,masculino,20
